Title	Duration	Genre	Release Date	Category	Deaf Actor	Deaf Director	Deaf Writer	Deaf Editor	Language	Country	Sign Language %	Company	Free To Watch	IMDb ID	Synopsis	URL
The Miracle Worker	01 hours 38 minutes		October 14, 1979	Movies with No Deaf Actors | Leading Roles; Movies					English	USA					Devoted teacher Anne Sullivan leads deaf and blind Helen Keller into the light of learnedness.	https://deafmovie.org/title/the-miracle-worker-3/
The Miracle Worker	01 hours 46 minutes	Drama; Biography	May 23, 1962	Movies					English	USA					The story of Anne Sullivan’s struggle to teach the blind and deaf Helen Keller how to communicate.	https://deafmovie.org/title/the-miracle-worker-2/
The Most Beautiful Thing	11 minutes	Drama; Romance; Short	March 1, 2012	Shorts									Free Short		A down on his luck boy finds love in the most unexpected way.	https://deafmovie.org/title/the-most-beautiful-thing/
The Mute’s House	32 minutes		November 10, 2015	x Documentaries; x Documentaries by Non-Deaf Directors					Arabic; Hebrew	Israel				tt5231436	A building in Israeli Hebron, which has been deserted by its Palestinian occupants, is called ‘The Mute’s House’ by the Israeli soldiers stationed there and by the tour guides who pass by daily. The building’s only occupants are a deaf woman, Sahar, and her 8-year-old son, Yousef. The family’s unique story, in the midst of the Israeli-Palestinian conflict, unfolds through the eyes of the young and charismatic Yousef, as he goes through his daily routine on both sides of the torn city.	https://deafmovie.org/title/tt5231436/
The Paper Man (orig. title: El hombre de papel)	01 hours 50 minutes	Drama	September 5, 1963	Movies with No Deaf Actors | Leading Roles; Movies											A deaf and mute vagabond finds a large denomination bill in a Mexico City dump, and while he tries to buy something with it, others try to con him into giving it away.	https://deafmovie.org/title/the-paper-man/
The Parts You Lose	01 hours 33 minutes	Drama; Thriller; Crime	December 3, 2019	Movies with Deaf Actors | Leading Roles; Movies	Danny Murphy				American Sign Language; English	USA; Canada	1-10% Sign Language Usage			tt4827922	Wesley is a young deaf boy who is constantly bullied at school. On a cold day, Wesley finds an unconscious, bleeding man and brings him into an abandoned barn close to his home. They develop a friendly relationship as the man teaches him to stand up against bullies. However, after police forces increase in the town, Wesley discovers he may not be able to protect his new friend.	https://deafmovie.org/title/tt4827922/
The Pastman	18 minutes		June 7, 2018	Shorts with Deaf Actors | Leading Roles; Shorts	Russell Harvard; Sandra Mae Frank			MJ Kiego	American Sign Language	USA	50-100% Sign Language Usage		Free Short	tt11124238	In the future, time travel is possible, and when these are exceeded, they are investigated by time criminal agents. A government agent is assigned to travel back in time to serve as a comfort to those suffering from time warps.	https://deafmovie.org/title/the-pastman/
The Pigeonhole Man & the Deaf	45 minutes		October 7, 2014	x Documentaries by Non-Deaf Directors									Free Documentary		Many deaf people he meets regard the word Deaf as a title of honor and think it is important that it be written with a capital letter D. What exactly does Deaf culture mean? And how do deaf people see the group of people they need to relate to so often – hearing? Watch this documentary to understand how you are deaf.	https://deafmovie.org/title/the-pigeonhole-man-the-deaf/
The Player		Comedy; Drama; Thriller; Crime	April 3, 1992	Movies with Deaf Actors | Supporting Roles; Movies	Marlee Matlin				American Sign Language; English	USA					A Hollywood studio executive is being sent death threats by a writer whose script he rejected, but which one?	https://deafmovie.org/title/the-player/
The Quiet	01 hours 36 minutes	Drama; Thriller; Crime	September 12, 2005	Movies with No Deaf Actors | Leading Roles; Movies					English	USA					Following the unexpected death of her father, a deaf and mute teenager moves in with her godparents, where she discovers the cruel behavior of their daughter may be indicative of a dark secret within the family.	https://deafmovie.org/title/the-quiet/
The Sandlot 2		Comedy; Family; Sport	May 3, 2005	Movies with Deaf Actors | Leading Roles	Sean Berdy										A film about a group of young baseball-enthusiasts who test the terrifying myth of Mr. Mertle owning a freakishly large and dangerous dog in his backyard.	https://deafmovie.org/title/the-sandlot-2/
The Seasoning House	01 hours 30 minutes	Drama; Horror; Thriller	August 23, 2012	Movies with No Deaf Actors | Leading Roles; Movies					English	USA					Sold at a brothel deep in the woods to work as a caretaker, a hapless deaf girl must summon the courage to fight for her life.	https://deafmovie.org/title/the-seasoning-house/
The Shape of Water	02 hours 13 minutes	Adventure; Drama; Fantasy; Romance; Thriller	August 31, 2017	Movies with No Deaf Actors | Leading Roles; Movies					American Sign Language; English	USA	1-10% Sign Language Usage			tt5580390	At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.	https://deafmovie.org/title/the-shape-of-water/
The Silence		Drama; Horror; Sci-fi	April 10, 2019	Movies with No Deaf Actors | Leading Roles; Movies					American Sign Language; English	USA; Germany; EUR					The story of a family struggling to survive in a world terrorized by a deadly, primeval species who have evolved for millions of years in the pitch darkness of a vast underground cave system, hunting only with their acute hearing. As the family seeks refuge in a remote haven where they can wait out the invasion, they start to wonder what kind of world will remain when they’re ready to emerge.	https://deafmovie.org/title/the-silence/
The Silent Child	20 minutes	Drama; Short	August 8, 2017	Shorts with Deaf Actors | Leading Roles; Shorts	Maisie Sly				British Sign Language	United Kingdom	25-50% Sign Language Usage		Free Short	tt6186970	A deaf 6-year-old girl named Libby lives in a world of silence until a caring social worker teaches her to use sign language to communicate.	https://deafmovie.org/title/the-silent-child/
The Silent Forest (orig. title: 無聲 Wu sheng)	01 hours 48 minutes		October 15, 2020	TV Movies; TV Movies with No Deaf Actors | Leading Roles					Taiwanese Sign Language; Mandarin	Taiwan				tt12396992	A hearing-impaired boy transfers to a school for children with special needs. But his excitement about blending into a new environment immediately turns into fear when he witnesses the reality happening in the school.	https://deafmovie.org/title/tt12396992/
The Silent Heroes		Adventure; Drama; Family	December 11, 2015	Movies with Deaf Actors | Leading Roles					Hindi	India				tt4309284	The film, Silent Heroes, is based on the story of 13 real deaf children who through mountaineering want to prove that they are different but not disabled. The Leader who never considered the deaf children as capable and equal and discouraged them all through the course gets badly injured in an accident. This might be an end to Children dreams of scaling Himalayan peaks and proving their worth in front of the outside world. Now it is for these deaf children to show their skills, presence of mind and courage to save their Leader and prove their worth.	https://deafmovie.org/title/the-silent-heroes/
The Silent Hour	02 hours 19 minutes		October 11, 2024	Movies with Deaf Actors | Supporting Roles; Movies with No Deaf Actors | Leading Roles; Movies	Sandra Mae Frank				English	USA					A detective with hearing loss (Joel Kinnaman) and a deaf witness (Sandra Mae Frank) find themselves in a deadly game of survival after witnessing a brutal murder. Trapped in an abandoned apartment block with killers closing in, they must overcome their communication barriers and work together to outsmart their relentless pursuers. Using their unique abilities and instincts, they navigate the eerie, crumbling building, all while struggling against the odds to outthink and outrun dangers they cannot hear approaching.	https://deafmovie.org/title/the-silent-hour/
The Silent Natural		Family; Biography; History	August 25, 2020	Movies with No Deaf Actors | Leading Roles; Movies					English	USA					William Hoy was one of the first Deaf Major League Baseball players in the 1800’s. Being deaf, he introduced hand signals for strike and ball to the game and overcame many obstacles to become one of the greatest players of his time.	https://deafmovie.org/title/the-silent-natural/
The Silent Stranger	50 minutes	Western	April 21, 1924	Movies with No Deaf Actors | Leading Roles; Movies					English	USA	x Mute (No Language)				Supposedly a deaf-mute, Jack Taylor arrives in Valley City at the same time that Postmaster Dad Warner is threatened with the loss of his job because of the many recent mail thefts. Taylor suspects Warner’s clerk, Law Sleeman, and is consequently captured by a gang led by local politician Dick Blackwell. He escapes, stops another robbery, rescues Lillian Warner, captures the gang, reveals himself to be a Secret Service agent, and wins Lillian’s hand.	https://deafmovie.org/title/the-silent-stranger-2/
The Silent Voice	01 hours 00 minutes	Drama; Romance	September 13, 1915	x Silent Movies; x Silent Movies with No Deaf Actors | Leading Roles											Franklyn Starr, a talented and wealthy young musician, suffers a double misfortune in the sudden loss of his hearing and in the death of his Mother to whom he is deeply attached. He loses his generous, joyous nature and transforms into a gloomy and despondent misanthrope. Sensitive about his deafness, he retires to an isolated home in the country, his sole companion being his faithful servant, and lives the life of a hermit. Wandering in the woods, he is unable to hear the workmen’s warning cries and is injured in an explosion, Marjorie Blair, a young society woman, riding nearby, comes to his rescue and aid. Upon his recovery, he and Marjorie have fallen in love and are married. Just when their future looks the brightest, Bobby Delorme, a relative of Starr’s, takes advantage of a past innocent flirtation with Marjorie, and creates a situation in which Starr believes that Marjorie has been unfaithful to him. He again becomes embittered.	https://deafmovie.org/title/the-silent-voice/
The Sobbing Stone	01 hours 16 minutes	Mystery	August 11, 2005	Movies with Deaf Actors | Supporting Roles; Movies	Michelle Mary Schaefer				English	USA					Science can’t explain it. No one can. A seemingly ordinary stone has been brought to the attention of four of the best paranormal experts in the world. As the hours progress, they find out why. The stone emits sounds, in no particular order, and no one can record them. But why? And how can it do this? This chilling discovery haunts them to the core of their minds and souls… but they can’t escape the Sobbing Stone. What they find is a kind of truth that will change their lives forever. The Sobbing Stone… you’ve got to hear it… to believe.	https://deafmovie.org/title/the-sobbing-stone/
The Sound Barrier: The Gift of Hearing	52 minutes	Documentary	February 2, 2015	x Documentaries; x Documentaries by Non-Deaf Directors											This award-winning film tells the emotional stories of several non-hearing children and adults who receive a Cochlear Implant. This miracle device, implanted by surgeons at the Beaumont Hospital in Dublin, Ireland, is designed to send electronic signals directly to the auditory nerve, bypassing the ear. Filmed over a year’s time, the film captures the remarkable journey from silence to sound.	https://deafmovie.org/title/the-sound-barrier-the-gift-of-hearing/
The Sound of Fear	8 minutes		November 28, 2016	Shorts with Deaf Actors | Leading Roles; Shorts	Sandra Mae Frank				American Sign Language; English	USA			Free Short	tt6283446	A young Deaf woman, IVY, inadvertently witnesses a group of meth addicts kill a sheriff in a remote resort town. On the run, Ivy races through the empty streets looking for help. She finds a vacationing family and tries to get them to call the police, but they can’t understand her. The addicts burst in and kill the mom and dad. Ivy and the thirteen year-old daughter, Molly, flee.	https://deafmovie.org/title/tt6283446/
The Star Maker	01 hours 53 minutes		September 7, 1995	Movies with Deaf Actors | Supporting Roles; Movies	Giuseppe Giuranna; Maurizio Giuranna; Fabio Giuranna				Italian	Italy; EUR	0–1% Sign Language Usage			tt0114808	A photographer and the types of people he encounters.	https://deafmovie.org/title/tt0114808/
The Story of Alexander Graham Bell		Drama; Biography; History	April 1, 1939	Movies with No Deaf Actors | Supporting Roles											The story of how invented the telephone.	https://deafmovie.org/title/the-story-of-alexander-graham-bell/
The Story of Esther Costello		Drama	August 15, 1957	Movies with No Deaf Actors | Leading Roles; Movies					English	United Kingdom					Eighteen-year-old Esther has been deaf and blind since the accident which killed her mother. Wealthy Margaret Landi, a native of Esther’s village in Ireland, is talked into helping to	https://deafmovie.org/title/the-story-of-esther-costello/
The System		Drama; Thriller; Mystery	September 28, 2018												Vastly different lives and perspectives become intertwined after a police officer suffering from reoccurring PTSD mistakenly shoots a deaf African-American kid, exposing layers of racial	https://deafmovie.org/title/the-system/
The Three Musketeers		Action; Adventure; Romance	August 28, 1921	Movies with Deaf Actors | Supporting Roles; Movies	Granville Redmond					USA	x Mime				The young Gascon D’Artagnan arrives in Paris, his heart set on joining the king’s Musketeers. He is taken under the wings of three of the most respected and feared Musketeers, Porthos, Aramis, and Athos. Together they fight to save France and the honor of a lady from the machinations of the powerful Cardinal Richelieu.	https://deafmovie.org/title/the-three-musketeers-2/
The Time Tree	18 minutes	Drama; Family; Short	August 16, 2018						English	United Kingdom					1596. Anne, a deaf girl, bullied by the maids and mistresses who look after her, finds solace when she comes across a magical tree: a portal to the present, where she meets Jo and Rachel, who help her overcome her disability in a …	https://deafmovie.org/title/the-time-tree/
The Train Between US (orig. title: Kereta Kita)	10 minutes		December 10, 2019	Shorts					English; Indonesian	Indonesia			Free Short	tt15428334	Bima (26), a Deaf young man, had just broken up with his Hearing girlfriend, Manda (25). After a painful breakup, he is forced to meet Manda again to return her belongings which sparked old memories. We see their dynamic relationship through the time they had spent in the train. Will they overcome differences at the end? The Train in Between Us tells the story of the struggles of a relationship between the two world of the Deaf and Hearing.	https://deafmovie.org/title/tt15428334/
The Tribe		Drama; Crime	September 29, 2014	Movies with Deaf Actors | Leading Roles					Ukrainan Sign Language; Ukrainan	Ukraine				tt1745787	A deaf boy joins a boarding school for similar children. Confronted by the violent and criminal antics of some of the other boys and girls, he struggles to conform and join the ‘tribe’.	https://deafmovie.org/title/the-tribe/
The Unheard	02 hours 05 minutes	Drama; Horror; Mystery	March 31, 2023	Movies with No Deaf Actors | Leading Roles; Movies					N/A						Chloe Grayden undergoes an experimental procedure to restore her hearing. So she begins to suffer from auditory hallucinations related to the vanishing of her mother.	https://deafmovie.org/title/the-unheard/
The Wall		Documentary	June 1, 2015	x Documentaries by Deaf Directors; x Documentaries					German Sign Language	Germany; EUR	50-100% Sign Language Usage				7 people share their experiences about the Berlin Wall. The Berlin Wall was a barrier that divided the German capital from 1961 to 1989. Deaf people were separated by Berlin Wall, too. There were two different Deaf clubs, two different Deaf communities within the separated city. When The Wall was opened in November 1989. Both Deaf communities started to meet each other. The main language in the film is German Sign Language and English Subtitles.	https://deafmovie.org/title/the-wall/
The Way We Talk	02 hours 12 minutes	Drama	October 12, 2024	Movies with No Deaf Actors | Leading Roles; Movies					Cantonese	Hong Kong					A soul-searching story about three young friends who have different conditions of deafness.	https://deafmovie.org/title/the-way-we-talk/
The West Wing		Drama	September 22, 1999							USA					Presidential advisers get their personal lives hopelessly tangled up with professional duties as they try to conduct the business of running a country. Fictional Democratic President Josiah “Jed” Bartlet suffers no fools, and that policy alienates many. He and his dedicated staffers struggle to balance the needs of the country with the political realities of Washington, D.C., working through two presidential terms that include countless scandals, threats and political scuffles, as well as the race to succeed Bartlet as the leader of the free world.	https://deafmovie.org/title/the-west-wing/
The Woman God Forgot		Romance; History	October 28, 1917	Movies with Deaf Actors | Supporting Roles; Movies	David Marvel					USA					Cortez sends Alvarado to Montezuma who throws him into a dungeon from which he is rescued by Tecza who loves him. He is recaptured when her lover Guatemoco finds Alvarado hiding in her chambers. Tecza next leads Cortez into the city, thus causing the destruction of her nation and securing the love of Alvarado.	https://deafmovie.org/title/the-woman-god-forgot/
There Will Be Blood		Drama	September 27, 2007	Movies with Deaf Actors | Supporting Roles; Movies	Russell Harvard				American Sign Language; English	USA					A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.	https://deafmovie.org/title/there-will-be-blood/
Think Me Nothing		Comedy	September 15, 1975	Movies with Deaf Actors | Leading Roles; Movies	Stephanie Philips; Steve Kelly; David Jarashow; Elan Dannis; James Casey; Patti Hill; Peter Wolf; Ray Kennedy; Shelly Lawrence	Peter Wolf			American Sign Language	USA	50-100% Sign Language Usage				Black Summer	https://deafmovie.org/title/think-me-nothing/
This is Ed!!	7 minutes		November 28, 2017	Shorts; Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts by Deaf Writers	Ryan Lane	Bob Hiltermann			American Sign Language	USA				tt6102048	“This is Ed!!” illustrates that the difficulties two deaf friends have communicating with each other, can have a humorous side. In the summer of 1973, Steve and Ed are best friends living in the same apartment complex, when Ed finds himself in need of Steve to help him out before an important date. A hilarious conversation ensues is a frustrated Ed tries repeatedly to make Steve understand that he desperately needs his assistance. Steve, using broken and outdated hearing aids, is completely clueless to his buddy’s predicament which only leads to frustration for Ed until he reaches the breaking point.	https://deafmovie.org/title/tt6102048/
This Is I: Remember Me		Documentary	February 2, 2015	x Documentaries											This Is I; Remember Me touches on a sensitive topic, looking at the challenges Deaf people in their golden years face with the little known disease, dementia.	https://deafmovie.org/title/this-is-i-remember-me/
This Is Normal		Drama; Short	April 1, 2013	Shorts with Deaf Actors | Supporting Roles; Shorts	Russell Harvard; Michael Anthony Spady								Free Short		A young woman named Gwen who takes what is essentially the medical version of a “magic pill” to go from totally deaf to completely hearing.	https://deafmovie.org/title/this-is-normal/
Thodos Dance Chicago’s a Light in the Dark		Drama; Short	September 8, 2013	Shorts with No Deaf Actors | Leading Roles; Shorts									Free Short		Experience the critically acclaimed Thodos Dance Chicago story ballet A LIGHT IN THE DARK from the best seat in the house in this incredible performance-on-film production from renowned …	https://deafmovie.org/title/thodos-dance-chicagos-a-light-in-the-dark/
Thriller: A Cruel Picture	01 hours 44 minutes	Action; Drama; Crime	June 5, 1974	Movies with No Deaf Actors | Leading Roles					Swedish	Sweden; EUR	x Mute (No Language)				The film is also known as “They Call Her One Eye.”This 1973 Swedish exploitation film tells the story of Madeleine, a mute young woman who is abducted, forcibly addicted to heroin, and coerced into prostitution.In one scene, she mistakenly believes money left in an open wallet is for her, takes it, and is subsequently beaten by her captor.Another poignant scene depicts her attempting to use a payphone, highlighting her inability to hear or speak.The film is notable for its graphic content and has gained a cult following over the years.​	https://deafmovie.org/title/thriller-a-cruel-picture/
Through Deaf Eyes	120 minute	Documentary	March 21, 2007	x Documentaries; x Documentaries by Non-Deaf Directors					American Sign Language; English	USA	50-100% Sign Language Usage		Free Documentary; Free Documentary DMDb's Pick	tt0487158	History Through Deaf Eyes will take a look at Deaf culture from the 19th century to the present. The 120 minute production for PBS will include short films.	https://deafmovie.org/title/through-deaf-eyes/
Thursday’s Children		Documentary	May 5, 1954	x Documentaries; x Documentaries by Non-Deaf Directors					English	United Kingdom			Free Documentary		Won the Academy Award for the Best Documentary Short of 1954. The subject deals with the children at The Royal School for the Deaf in Margate, Kent. The hearing-handicapped children are shown painstakingly learning what words are through exercises and games, practicing lip-reading and finally speech. Richard Burton’s calm and sometimes-poetic narration adds to the heartwarming cheerfulness and courage of the children.	https://deafmovie.org/title/thursdays-children/
Till Deaf Do Us Part: Love is Deaf	01 hours 31 minutes		January 19, 2023							Ghana; AFR					Written, produced and directed by KOBI RANA @kobirana	https://deafmovie.org/title/till-deaf-do-us-part-love-is-deaf/
Tim Timmerman: Hope of America		Comedy; Drama; Romance	March 3, 2017	Movies with No Deaf Actors | Supporting Roles; Movies with No Deaf Actors | Leading Roles; Movies					English	USA					Mount Vista High’s student-body president Tim Timmerman (Eddie Perino, Disney’s LAB RATS) — class of 1994 — has aspirations of attending Yale and becoming a famous politician. Once elected as president, however, Tim has zero interest in doing any actual work; he simply coasts, believing that his student-body president title rubber stamps his future dreams. When Tim’s laziness and incompetence endanger his dreams, he realizes that a deaf student, Sydney (Chelsea Maidhof), could actually provide the easiest route to glory for Tim: her father’s position as a U.S. senator. Nothing will stop Tim from reaching the top…except himself.	https://deafmovie.org/title/tim-timmerman-hope-of-america/
Tin Man		Drama	September 21, 1983	Movies with No Deaf Actors | Leading Roles; Movies											A young man, born deaf, invents a computer so he can hear and speak with others.	https://deafmovie.org/title/tin-man/
To Know Him		Drama; Short	May 14, 2018	Shorts with Deaf Actors | Leading Roles; Shorts					British Sign Language	United Kingdom	50-100% Sign Language Usage	BSLZone	Free Short		When a tragic accident leaves Sarah grieving for her deaf partner Rob, she is forced to track down and engage with his estranged hearing father. To lay the man she loves to rest, Sarah must overcome a barrier far greater than language.	https://deafmovie.org/title/to-know-him/
Together		Drama	February 5, 1956	Movies with No Deaf Actors | Leading Roles; Movies											Two dockers,both deaf and dumb,stand together.	https://deafmovie.org/title/together/
Torture Me But Kill Me with Kisses		Comedy	October 4, 1968	Movies with No Deaf Actors | Leading Roles; Movies					Italian	Italy					Quando Marino va a Roma per una manifestazione non immagina certo di incontrare Marisa, che diventerà l’amore della sua vita. Ma una volta trovato l’amore, si tratta di impalmarlo e qua iniziano le difficoltà: prima il padre che si oppone; poi, morto il padre, le malelingue che fanno credere a Marino che Marisa sia stata una poco di buono, tanto che Marisa fugge. Pentito, Marino la ricerca invano e poi, quasi per caso, la ritrova signora Ciceri. Ma l’amore non ammette ostacoli, neanche quello di un marito sordomuto.	https://deafmovie.org/title/torture-me-but-kill-me-with-kisses/
Toska		Drama; Fantasy; Short	April 28, 2019	Shorts with Deaf Actors | Supporting Roles											A performance artist has to help a little girl find her father and on the way, she goes to a performance exhibition that’s only showing for this final day at the museum Toska.	https://deafmovie.org/title/toska/
Touch the Sound: A Sound Journey with Evelyn Glennie		Documentary	August 1, 2004	x Documentaries; x Documentaries by Non-Deaf Directors											A documentary which explores the connections among sound, rhythm, time, and the body by following percussionist Evelyn Glennie, who is nearly deaf.	https://deafmovie.org/title/touch-the-sound-a-sound-journey-with-evelyn-glennie/
Transformer		Drama; Short	February 1, 1999	Shorts						Denmark					A deaf painter works on a painting on a roof with view over the city. A red puppet watches him from behind…	https://deafmovie.org/title/transformer/
Transients		Drama; Music; Short	February 1, 2011	Shorts with Deaf Actors | Leading Roles; Shorts	Douglas Ridloff				American Sign Language; English	USA	25-50% Sign Language Usage				Depicts the encounter between two artists who meet at an arts festival: Sandrine, an environmental artist whose perceptions of art and nature have been greatly affected by a recent disability, and Sal, a deaf musician and poet whose personal battles frequently collide with those around him. The film explores issues of ability, communication, identity, and trust as the characters confront truths about themselves and each other.	https://deafmovie.org/title/transients/
Transit		Drama; Sci-fi	February 17, 2018	Movies with No Deaf Actors | Supporting Roles											German troops are fast approaching Paris. Georg, a German refugee, escapes to Marseille in the nick of time. In his luggage, he carries the documents of an author, Weidel, who has taken his own life in fear of his persecutors. Those documents include a manuscript, letters and visa assurance from the Mexican embassy. Everything changes when Georg falls in love with the mysterious Marie. Is it devotion or calculation that has led her to share her life with a doctor, Richard, before journeying on in search of her husband? He’s said to have surfaced in Marseille in possession of a Mexican visa for him and his wife.	https://deafmovie.org/title/transit/
Tree Fairy		Family; Short	December 23, 2013	Shorts with Deaf Actors | Leading Roles; Shorts		Louis Neethling			British Sign Language	United Kingdom		BSLZone	Free Short		Black Summer	https://deafmovie.org/title/tree-fairy/
True Biz Project		Drama; TV	January 1, 1970		Millicent Simmonds		Sara Novic		American Sign Language	USA					The journey is Charlie, a Deaf teenage girl, navigating the journey of finding one’s people and one’s place in the world, in the middle of social and political turbulence.	https://deafmovie.org/title/true-biz-project/
Turn Up The Bass	12 minutes		January 15, 2024	x Documentaries by Deaf Directors		Ted Evans			British Sign Language	United Kingdom		BSLZone			“Turn Up The Bass” tells the remarkable and lesser-known story of Troi Lee, also known as DJ Chinaman, a driving force in the Deaf music and rave scene in the UK.	https://deafmovie.org/title/turn-up-the-bass/
Two Shades of Blue		Thriller	March 27, 1999	Movies with Deaf Actors | Leading Roles; Movies	Marlee Matlin				American Sign Language; English	USA				tt0161029	Susan Price has written a #1 bestseller, a steamy novel about a woman’s search for the ultimate sexual experience entitled, “The Dark Side of Judith.” When Susan is framed for the murder of her fiance, billionare publisher Jack Reynolds, she eludes authorities by changing her identity and becoming the woman she wrote about in her book, Judith Anderson. To find the real killer, Susan goes undercover as a relay operator for the hearing impaired to contact District Attorney Beth McDaniels who is deaf. While relaying intimate phone conversations between Beth and her boyfriend Calvin, Susan discovers her own dark side when she becomes entangled in this voyeuristic world of deceit, intrigue and murder.	https://deafmovie.org/title/two-shades-of-blue/
Unfriended: Dark Web		Horror; Thriller; Mystery	March 9, 2018	Movies with Deaf Actors | Leading Roles; Movies	Stephanie Nogueras				American Sign Language; English	USA					Tells the story about a teen who comes into possession of a new laptop and finds that it may have been stolen. He discovers the previous owner may be watching every move he makes and will do anything to get it back.	https://deafmovie.org/title/unfriended-dark-web/
Universal Signs	01 hours 40 minutes	Drama	May 1, 2008	Movies with Deaf Actors | Leading Roles										tt0494285	After the death of his fiancée’s daughter while in his care, a deaf man shuts himself off from the world. Haunted by memories, it is only through new friendship that he can learn to forgive, love, and reconnect.	https://deafmovie.org/title/universal-signs/
Unmasking Deaf Education	55 minutes		May 1, 2025	x Documentaries by Deaf Directors; x Documentaries		Carey Ballard			American Sign Language	USA	50-100% Sign Language Usage				A revealing documentary that uncovers the hidden history, resistance, and ideological battle over American Sign Language in Deaf education.	https://deafmovie.org/title/unmasking-deaf-education/
Unsound	01 hours 28 minutes		July 1, 2020	Movies with Deaf Actors | Leading Roles; Movies	Yiana Pandelis				English; Australian Sign Langauge	Australia; United Arab Emirates	x Misuse Sign Language			tt6051918	Australian drama about a romance between a musician and a deaf trans man (played by deaf performer Yiana Pandelis).	https://deafmovie.org/title/tt6051918/
Unspoken	02 hours 00 minutes	Drama; Crime	April 2, 2024	Movies with Deaf Actors | Supporting Roles; Movies	Josh Castille				American Sign Language; English	USA	0–1% Sign Language Usage				A grieving Chinese father travels to America to collect his daughter and stays to catch the killer.	https://deafmovie.org/title/unspoken/
Until Rainbow Dawn	01 hours 03 minutes	Drama; Romance	April 1, 2018	Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies by Deaf Writers; Movies	Eri Nagai; Haruka Kobayashi; Ren Kikukawa	Mika Imai			Japanese Sign Language; Japanese	Japan	50-100% Sign Language Usage			tt11478272	Hana Takahashi and Ayumi Hoshino, both deaf girls, meet each other through a sign language group. Hana, although confused due to the fact of being attracted to a woman, starts dating Ayumi.	https://deafmovie.org/title/tt11478272/
Untitled Insolera Project			January 1, 1970												Plot kept under wraps.	https://deafmovie.org/title/untitled-insolera-project/
Untitled Marlee Matlin Project		TV	January 1, 1970												Black Summer	https://deafmovie.org/title/untitled-marlee-matlin-project/
Uro (The Long Way Home)			April 21, 2005	Movies; Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies by Deaf Writers	Hideaki Nasu	Nobuhiro Ohdate	Nobuhiro Ohdate		Japanese Sign Language	Japan	50-100% Sign Language Usage				A mixture of deaf and Japanese culture, it portrays a deaf man who has landed in debt and is suddenly compelled to come to terms with his childhood.	https://deafmovie.org/title/uro-the-long-way-home/
Valhalla Rising	01 hours 33 minutes	Adventure; Drama; Fantasy	March 31, 2010	Movies with No Deaf Actors | Leading Roles					English	Denmark; United Kingdom; EUR	x Mute (No Language)				In 1000 AD, One Eye, a mute warrior with supernatural strength, escapes captivity with the help of Are, a boy slave. Together, they flee, boarding a Viking ship that is soon lost in an endless fog. As they reach an unknown land, the crew faces a bloody fate, and One Eye uncovers his true identity.	https://deafmovie.org/title/valhalla-rising/
Vee TV		Documentary	February 2, 2002	x Docuseries; x Docuseries by Non-Deaf Directors					British Sign Language	United Kingdom; EUR	50-100% Sign Language Usage		Free Docuseries		N/A	https://deafmovie.org/title/vee-tv/
Versa Effect	01 hours 30 minutes	Comedy	January 1, 2011	Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies	Virginia Morford; Chuck Baird; Rita Corey; Crystal Finley; Jasmine Garcia; Jesse Jones; Rosa Lee Timm; Russell Harvard	Mark Wood			American Sign Language	USA	50-100% Sign Language Usage				A deaf movie where two teachers switch bodies for a day. While trying to figure out how to get back a group of thugs attack them.	https://deafmovie.org/title/versa-effect/
Vibrations: A Documentary		Documentary	December 19, 2010	x Documentaries; x Documentaries by Non-Deaf Directors									Free Documentary		A group of Deaf teens at the Indiana School for the Deaf defy definition as they create a musical performing arts troupe.	https://deafmovie.org/title/vibrations-a-documentary/
Vision Film III: Meant to Be	15 minutes		May 18, 2018	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts	Raquel McPeek Rodriguez	Ryan Commerson			English	USA	0–1% Sign Language Usage		Free Short		Watch Full Movie [Free]	https://deafmovie.org/title/vision-film-iii-meant-to-be/
Vuelco			July 1, 2005	Shorts with Deaf Actors | Leading Roles; Shorts	Paloma Soroa				Spanish Sign Language; Spanish	Spain			Free Short		A teenage boy rides out of town to meet a a girl in the countryside. She is deaf, and he explains the different means he uses to get her attention when she has not seen him. Then they say goodbye, with one poignant hug and a desperate yell punctuating their final farewell.	https://deafmovie.org/title/vuelco/
Walker		Drama; Western; Biography; History	December 4, 1987	Movies with Deaf Actors | Leading Roles; Movies	Marlee Matlin										An unconventional retelling of the life of William Walker, a 19th century American mercenary leader who became the president of Nicaragua.	https://deafmovie.org/title/walker/
Wasted Beauty		Drama; Short	January 1, 2015	Shorts with Deaf Actors | Leading Roles; Shorts	Amber Zion	Martin Paves			American Sign Language	USA			Free Short		Refusing to give up her dreams, a beautiful young girl who at first glance could be Hollywood’s next ingenue, finds herself living on the streets where her life hits an unimaginable low.	https://deafmovie.org/title/wasted-beauty/
